text_raw,id
Ever since Kelly's burned I keep having dreams about being inside burning buildings ??,11
@RachelRofe tired it' 5:36 am. Woke up to a thunderstorm lightning and rain. How are you?,31
Google Alert: Emergency units simulate a chemical explosion at NU http://t.co/NDgpWYxu6H,60
MGN-AFRICA pin:263789F4  Correction: Tent Collapse Story: Correction: Tent Collapse story  http://t.co/fDJUYvZMrv @wizkidayo,77
Irony just died a thousand deaths! ???? http://t.co/dBU30ObDxz,107
"Truth...
https://t.co/Kix1j4ZyGx
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/pi6Qn7y7ql",112
I'm about to cook your Smokey the Bear saving forest fires face ass  https://t.co/WtGGqS5gEh,127
Agency seeks comments on seismic permits http://t.co/9Vd6x4WDOY,138
LARGE SHIP WRECK FISH TANK ORNAMENT FOR SALE LARGE SHIP WRECK FISH TANK AQUA...http://t.co/scGhL0Piq6,165
Summer #summervibes #california #puppy #pitmix #rescued #brixton #banksy #happy #mybabies https://t.co/7VoVkTXsPo,240
"More dirtylying dishonest #refugees for the #UK. 
http://t.co/3m7amh1E33

#WhiteGenocide #gays  #Britain #British http://t.co/FzOv8WcbYI",254
@johngreen The catastrophic history of you and me,266
@crown_769 I'd rather have an ass in fire. At least I'd know whatever I eat will evacuate. Heartburn sticks around.,316
RT @an_opus: Elliott will be on probation for two years and will have to pay fines up to $1179.  http://t.co/72bcyfbTj3,329
#Adani &amp; #Modi plan for mining derailed! Australia court blocks huge India-backed coal mine http://t.co/SjE59U2nNm via @YahooNews,345
BREAKING: Fairfax County firefighter placed on admin leave amid probe into Facebook post about putting police in 'body bags' dept. says.,354
The fire brigade should play this guys music at burning buildings to put the flames out,392
"Nuclear deal disaster.

#IranDeal #NoNuclearIran #BadIranDeal @JebBush @BarackObama http://t.co/z7phPjtqud",449
For those displaced by disasters label and legal status remain out of reach https://t.co/kJMgTEEklp,474
"Truth...
https://t.co/k44tL3rfMy
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/ipT0hoNoTI",523
It's a testimony to the human spirit that more of us don't set fire to our office buildings on Sunday night.,546
Deaths 3 http://t.co/nApviyGKYK,549
@Skarletan  the storm. A violent swell of emotions then nothing.,590
@noah_anyname Socialism means mass murder. Houze that for 'correlation'?,595
Anti Collision Rear- #technology #cool http://t.co/hK6nQrGedb,621
Going to attempt the California fair again tomorrow hopefully we don't die in a tornado ??,630
Heard theres two more deaths and a murder chrissie kills adam?  val and finn die? #emmerdale,633
@joshcorman  #infosec rather you knew it or not your a firefighter  now days  you often  run into burning buildings Deal with it.,639
"RAIN RAIN GO AWAY... A soaker is on the way 
------&gt; http://t.co/jQFcY9GuqV &lt;----- http://t.co/tN65puhfhw",642
'Seismic' Apple TV service to stream 25 channels across all d... http://t.co/zqMtrBKaS0 | https://t.co/YEqq3BZX3g http://t.co/kmVrZaSXY4,672
Can wait to see how pissed Donnie is when I tell him I was in ANOTHER accident??,684
I just bought tickets to DEATH BED / DUDE BRO PARTY MASSACRE III w/ @pattonoswalt Live at @AlamoDC! https://t.co/pmXLeZJBRc,690
@mariashriver Was '@FultonInfo'Court trip 2 keep strangers-BLK&amp;WHT-from us'g my @SSAPress ID or 2 forfeit 2 them due 2 Bioterrorism look?@AP,697
OMEGA MEN Writer Explores Terrorism Religion In an 'Epic KYLE RAYNER Story' http://t.co/Hr88CWxPGz #Newsarama,703
Who is Tomislav Salopek the Islamic State's Most Recent Hostage? - http://t.co/wiQJERUktF,779
Even tho Im getting 40%money back due 2 veld evacuation nothin could make up for missing @DVBBS @HARDWELL @aboveandbeyond #stillnotoverit ????,789
This wall is going to be the death of me...due to the years of water leaks and lack of maintenance_ https://t.co/PVd2fYBa0q,861
cancel the fucking show. Evacuate MetLife  https://t.co/SkQ8oUcM3R,943
Pizza drought is over I just couldn't anymore...,1003
The Architect Behind Kanye West۪s Volcano https://t.co/MUSBIk7EJf,1045
Various issues fail to derail homes bid http://t.co/zhsLl7swBh,1067
My room looks like a tornado passed through it and my OCD is not having it.,1074
"@noah_anyname That's where the concentration camps and mass murder come in. 
 
EVERY. FUCKING. TIME.",1083
Tess was almost born in a snowstorm. I was 39 years ago. Here's her birth story. http://t.co/UnyuRR8baw #VBAC #NaturalBirth,1086
http://t.co/EQjCpWILVn: Articles In Saudi Press Reject Russian Initiative For Regional Alliance With Assad Regime To Fight Terrorism,1093
6 Trends Are Driving a Data Tsunami for Startups http://t.co/sjh0HsRp4s #startup,1096
saving babies from burning buildings soaking cake in a shit tonne of alcohol mat is a man after my own heart ?? #GBBO,1150
#3: Car Recorder ZeroEdge Dual-lens Car Camera Vehicle Traffic/Driving History/Accident Camcorder  Large Re... http://t.co/kKFaSJv6Cj,1155
USFS an acronym for United States Fire Service. http://t.co/8NAdrGr4xC,1166
Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident,1200
OMEGA MEN Writer Explores Terrorism Religion In an 'Epic KYLE RAYNER Story' https://t.co/utc7pdIdfo via @Newsarama,1234
Trident 90225 Chevy fire Truck w/ Pumper  IMS Fire Dept. Red HO 1:87  plastic http://t.co/FAQNFUpeGn http://t.co/mQfOfKXtyh,1238
Have you ever remembered an old song something you haven't heared for years?  words that carry floods of memories all along. #priceless,1266
