target,text,keyword,text_raw,text_length,hashtag_count,mention_count,has_url,sentiment,bigrams,trigrams,text_with_ngrams
0,ever since kelly burned keep dream inside burning building,buildings burning,Ever since Kelly's burned I keep having dreams about being inside burning buildings ??,86,0,0,0,0.25,"[('ever', 'since'), ('since', 'kelly'), ('kelly', 'burned'), ('burned', 'keep'), ('keep', 'dream'), ('dream', 'inside'), ('inside', 'burning'), ('burning', 'building')]","[('ever', 'since', 'kelly'), ('since', 'kelly', 'burned'), ('kelly', 'burned', 'keep'), ('burned', 'keep', 'dream'), ('keep', 'dream', 'inside'), ('dream', 'inside', 'burning'), ('inside', 'burning', 'building')]",ever since kelly burned keep dream inside burning building ever_since since_kelly kelly_burned burned_keep keep_dream dream_inside inside_burning burning_building ever_since_kelly since_kelly_burned kelly_burned_keep burned_keep_dream keep_dream_inside dream_inside_burning inside_burning_building
0,rachelrofe tired 536 woke thunderstorm lightning rain,thunderstorm,@RachelRofe tired it' 5:36 am. Woke up to a thunderstorm lightning and rain. How are you?,89,0,1,0,-0.4404,"[('rachelrofe', 'tired'), ('tired', '536'), ('536', 'woke'), ('woke', 'thunderstorm'), ('thunderstorm', 'lightning'), ('lightning', 'rain')]","[('rachelrofe', 'tired', '536'), ('tired', '536', 'woke'), ('536', 'woke', 'thunderstorm'), ('woke', 'thunderstorm', 'lightning'), ('thunderstorm', 'lightning', 'rain')]",rachelrofe tired 536 woke thunderstorm lightning rain rachelrofe_tired tired_536 536_woke woke_thunderstorm thunderstorm_lightning lightning_rain rachelrofe_tired_536 tired_536_woke 536_woke_thunderstorm woke_thunderstorm_lightning thunderstorm_lightning_rain
0,dems blaze covered month agochicago police detained thousand black american interrogation facility,blaze,What Dems do. Blaze covered months ago.Chicago police detained thousands of black Americans at interrogation facility http://t.co/UWItVBsbnC,140,0,0,1,-0.4019,"[('dems', 'blaze'), ('blaze', 'covered'), ('covered', 'month'), ('month', 'agochicago'), ('agochicago', 'police'), ('police', 'detained'), ('detained', 'thousand'), ('thousand', 'black'), ('black', 'american'), ('american', 'interrogation'), ('interrogation', 'facility')]","[('dems', 'blaze', 'covered'), ('blaze', 'covered', 'month'), ('covered', 'month', 'agochicago'), ('month', 'agochicago', 'police'), ('agochicago', 'police', 'detained'), ('police', 'detained', 'thousand'), ('detained', 'thousand', 'black'), ('thousand', 'black', 'american'), ('black', 'american', 'interrogation'), ('american', 'interrogation', 'facility')]",dems blaze covered month agochicago police detained thousand black american interrogation facility dems_blaze blaze_covered covered_month month_agochicago agochicago_police police_detained detained_thousand thousand_black black_american american_interrogation interrogation_facility dems_blaze_covered blaze_covered_month covered_month_agochicago month_agochicago_police agochicago_police_detained police_detained_thousand detained_thousand_black thousand_black_american black_american_interrogation american_interrogation_facility
0,google alert emergency unit simulate chemical explosion nu,chemical emergency,Google Alert: Emergency units simulate a chemical explosion at NU http://t.co/NDgpWYxu6H,88,0,0,1,-0.1027,"[('google', 'alert'), ('alert', 'emergency'), ('emergency', 'unit'), ('unit', 'simulate'), ('simulate', 'chemical'), ('chemical', 'explosion'), ('explosion', 'nu')]","[('google', 'alert', 'emergency'), ('alert', 'emergency', 'unit'), ('emergency', 'unit', 'simulate'), ('unit', 'simulate', 'chemical'), ('simulate', 'chemical', 'explosion'), ('chemical', 'explosion', 'nu')]",google alert emergency unit simulate chemical explosion nu google_alert alert_emergency emergency_unit unit_simulate simulate_chemical chemical_explosion explosion_nu google_alert_emergency alert_emergency_unit emergency_unit_simulate unit_simulate_chemical simulate_chemical_explosion chemical_explosion_nu
0,robertoneill 31 getting hit foul ball sitting hardly freak accident war zone,war zone,@RobertONeill31 Getting hit by a foul ball while sitting there is hardly a freak accident. It's a war zone.,107,0,1,0,-0.8428,"[('robertoneill', '31'), ('31', 'getting'), ('getting', 'hit'), ('hit', 'foul'), ('foul', 'ball'), ('ball', 'sitting'), ('sitting', 'hardly'), ('hardly', 'freak'), ('freak', 'accident'), ('accident', 'war'), ('war', 'zone')]","[('robertoneill', '31', 'getting'), ('31', 'getting', 'hit'), ('getting', 'hit', 'foul'), ('hit', 'foul', 'ball'), ('foul', 'ball', 'sitting'), ('ball', 'sitting', 'hardly'), ('sitting', 'hardly', 'freak'), ('hardly', 'freak', 'accident'), ('freak', 'accident', 'war'), ('accident', 'war', 'zone')]",robertoneill 31 getting hit foul ball sitting hardly freak accident war zone robertoneill_31 31_getting getting_hit hit_foul foul_ball ball_sitting sitting_hardly hardly_freak freak_accident accident_war war_zone robertoneill_31_getting 31_getting_hit getting_hit_foul hit_foul_ball foul_ball_sitting ball_sitting_hardly sitting_hardly_freak hardly_freak_accident freak_accident_war accident_war_zone
0,mgnafrica pin 263789f4 correction tent collapse story correction tent collapse story wizkidayo,collapse,MGN-AFRICA pin:263789F4  Correction: Tent Collapse Story: Correction: Tent Collapse story  http://t.co/fDJUYvZMrv @wizkidayo,124,0,1,1,-0.7506,"[('mgnafrica', 'pin'), ('pin', '263789f4'), ('263789f4', 'correction'), ('correction', 'tent'), ('tent', 'collapse'), ('collapse', 'story'), ('story', 'correction'), ('correction', 'tent'), ('tent', 'collapse'), ('collapse', 'story'), ('story', 'wizkidayo')]","[('mgnafrica', 'pin', '263789f4'), ('pin', '263789f4', 'correction'), ('263789f4', 'correction', 'tent'), ('correction', 'tent', 'collapse'), ('tent', 'collapse', 'story'), ('collapse', 'story', 'correction'), ('story', 'correction', 'tent'), ('correction', 'tent', 'collapse'), ('tent', 'collapse', 'story'), ('collapse', 'story', 'wizkidayo')]",mgnafrica pin 263789f4 correction tent collapse story correction tent collapse story wizkidayo mgnafrica_pin pin_263789f4 263789f4_correction correction_tent tent_collapse collapse_story story_correction correction_tent tent_collapse collapse_story story_wizkidayo mgnafrica_pin_263789f4 pin_263789f4_correction 263789f4_correction_tent correction_tent_collapse tent_collapse_story collapse_story_correction story_correction_tent correction_tent_collapse tent_collapse_story collapse_story_wizkidayo
0,raining since left i am drowning flood see i have always fighter without give,flood,"It's been raining since you left me
Now I'm drowning in the flood
You see I've always been a fighter
But without you I give up",126,0,0,0,0.1531,"[('raining', 'since'), ('since', 'left'), ('left', 'i'), ('i', 'am'), ('am', 'drowning'), ('drowning', 'flood'), ('flood', 'see'), ('see', 'i'), ('i', 'have'), ('have', 'always'), ('always', 'fighter'), ('fighter', 'without'), ('without', 'give')]","[('raining', 'since', 'left'), ('since', 'left', 'i'), ('left', 'i', 'am'), ('i', 'am', 'drowning'), ('am', 'drowning', 'flood'), ('drowning', 'flood', 'see'), ('flood', 'see', 'i'), ('see', 'i', 'have'), ('i', 'have', 'always'), ('have', 'always', 'fighter'), ('always', 'fighter', 'without'), ('fighter', 'without', 'give')]",raining since left i am drowning flood see i have always fighter without give raining_since since_left left_i i_am am_drowning drowning_flood flood_see see_i i_have have_always always_fighter fighter_without without_give raining_since_left since_left_i left_i_am i_am_drowning am_drowning_flood drowning_flood_see flood_see_i see_i_have i_have_always have_always_fighter always_fighter_without fighter_without_give
0,irony died thousand death,deaths,Irony just died a thousand deaths! ???? http://t.co/dBU30ObDxz,62,0,0,1,-0.8271,"[('irony', 'died'), ('died', 'thousand'), ('thousand', 'death')]","[('irony', 'died', 'thousand'), ('died', 'thousand', 'death')]",irony died thousand death irony_died died_thousand thousand_death irony_died_thousand died_thousand_death
0,truth news bbc cnn islam truth god isi terrorism quran lie,terrorism,"Truth...
https://t.co/Kix1j4ZyGx
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/pi6Qn7y7ql",120,10,0,1,0.0258,"[('truth', 'news'), ('news', 'bbc'), ('bbc', 'cnn'), ('cnn', 'islam'), ('islam', 'truth'), ('truth', 'god'), ('god', 'isi'), ('isi', 'terrorism'), ('terrorism', 'quran'), ('quran', 'lie')]","[('truth', 'news', 'bbc'), ('news', 'bbc', 'cnn'), ('bbc', 'cnn', 'islam'), ('cnn', 'islam', 'truth'), ('islam', 'truth', 'god'), ('truth', 'god', 'isi'), ('god', 'isi', 'terrorism'), ('isi', 'terrorism', 'quran'), ('terrorism', 'quran', 'lie')]",truth news bbc cnn islam truth god isi terrorism quran lie truth_news news_bbc bbc_cnn cnn_islam islam_truth truth_god god_isi isi_terrorism terrorism_quran quran_lie truth_news_bbc news_bbc_cnn bbc_cnn_islam cnn_islam_truth islam_truth_god truth_god_isi god_isi_terrorism isi_terrorism_quran terrorism_quran_lie
0,i am cook smokey bear saving forest fire face as,forest fires,I'm about to cook your Smokey the Bear saving forest fires face ass  https://t.co/WtGGqS5gEh,92,0,0,1,-0.34,"[('i', 'am'), ('am', 'cook'), ('cook', 'smokey'), ('smokey', 'bear'), ('bear', 'saving'), ('saving', 'forest'), ('forest', 'fire'), ('fire', 'face'), ('face', 'as')]","[('i', 'am', 'cook'), ('am', 'cook', 'smokey'), ('cook', 'smokey', 'bear'), ('smokey', 'bear', 'saving'), ('bear', 'saving', 'forest'), ('saving', 'forest', 'fire'), ('forest', 'fire', 'face'), ('fire', 'face', 'as')]",i am cook smokey bear saving forest fire face as i_am am_cook cook_smokey smokey_bear bear_saving saving_forest forest_fire fire_face face_as i_am_cook am_cook_smokey cook_smokey_bear smokey_bear_saving bear_saving_forest saving_forest_fire forest_fire_face fire_face_as
