target,text,keyword,text_raw,text_length,hashtag_count,mention_count,has_url,sentiment,bigrams,trigrams,text_with_ngrams
0,ever since kelly burned keep dream inside burning building,buildings burning,Ever since Kelly's burned I keep having dreams about being inside burning buildings ??,86,0,0,0,0.25,"[('ever', 'since'), ('since', 'kelly'), ('kelly', 'burned'), ('burned', 'keep'), ('keep', 'dream'), ('dream', 'inside'), ('inside', 'burning'), ('burning', 'building')]","[('ever', 'since', 'kelly'), ('since', 'kelly', 'burned'), ('kelly', 'burned', 'keep'), ('burned', 'keep', 'dream'), ('keep', 'dream', 'inside'), ('dream', 'inside', 'burning'), ('inside', 'burning', 'building')]",ever since kelly burned keep dream inside burning building ever_since since_kelly kelly_burned burned_keep keep_dream dream_inside inside_burning burning_building ever_since_kelly since_kelly_burned kelly_burned_keep burned_keep_dream keep_dream_inside dream_inside_burning inside_burning_building
0,billionaire plan free half billion dollar trapped venezuela two year blakeschmidt report,trapped,"Billionaires have a plan to free half a billion dollars trapped in Venezuela for two years @BlakeSchmidt reports.

http://t.co/gbqTc7Sp9C",137,0,1,1,-0.0258,"[('billionaire', 'plan'), ('plan', 'free'), ('free', 'half'), ('half', 'billion'), ('billion', 'dollar'), ('dollar', 'trapped'), ('trapped', 'venezuela'), ('venezuela', 'two'), ('two', 'year'), ('year', 'blakeschmidt'), ('blakeschmidt', 'report')]","[('billionaire', 'plan', 'free'), ('plan', 'free', 'half'), ('free', 'half', 'billion'), ('half', 'billion', 'dollar'), ('billion', 'dollar', 'trapped'), ('dollar', 'trapped', 'venezuela'), ('trapped', 'venezuela', 'two'), ('venezuela', 'two', 'year'), ('two', 'year', 'blakeschmidt'), ('year', 'blakeschmidt', 'report')]",billionaire plan free half billion dollar trapped venezuela two year blakeschmidt report billionaire_plan plan_free free_half half_billion billion_dollar dollar_trapped trapped_venezuela venezuela_two two_year year_blakeschmidt blakeschmidt_report billionaire_plan_free plan_free_half free_half_billion half_billion_dollar billion_dollar_trapped dollar_trapped_venezuela trapped_venezuela_two venezuela_two_year two_year_blakeschmidt year_blakeschmidt_report
0,rachelrofe tired 536 woke thunderstorm lightning rain,thunderstorm,@RachelRofe tired it' 5:36 am. Woke up to a thunderstorm lightning and rain. How are you?,89,0,1,0,-0.4404,"[('rachelrofe', 'tired'), ('tired', '536'), ('536', 'woke'), ('woke', 'thunderstorm'), ('thunderstorm', 'lightning'), ('lightning', 'rain')]","[('rachelrofe', 'tired', '536'), ('tired', '536', 'woke'), ('536', 'woke', 'thunderstorm'), ('woke', 'thunderstorm', 'lightning'), ('thunderstorm', 'lightning', 'rain')]",rachelrofe tired 536 woke thunderstorm lightning rain rachelrofe_tired tired_536 536_woke woke_thunderstorm thunderstorm_lightning lightning_rain rachelrofe_tired_536 tired_536_woke 536_woke_thunderstorm woke_thunderstorm_lightning thunderstorm_lightning_rain
0,pft barkevious mingo missed brown practice mystery injury,injury,#PFT Barkevious Mingo missed Browns practice with a mystery injury http://t.co/D7m9KGMPJI,89,1,0,1,-0.6124,"[('pft', 'barkevious'), ('barkevious', 'mingo'), ('mingo', 'missed'), ('missed', 'brown'), ('brown', 'practice'), ('practice', 'mystery'), ('mystery', 'injury')]","[('pft', 'barkevious', 'mingo'), ('barkevious', 'mingo', 'missed'), ('mingo', 'missed', 'brown'), ('missed', 'brown', 'practice'), ('brown', 'practice', 'mystery'), ('practice', 'mystery', 'injury')]",pft barkevious mingo missed brown practice mystery injury pft_barkevious barkevious_mingo mingo_missed missed_brown brown_practice practice_mystery mystery_injury pft_barkevious_mingo barkevious_mingo_missed mingo_missed_brown missed_brown_practice brown_practice_mystery practice_mystery_injury
0,triumphant moment cook two egg easy yolk casualty,casualties,That triumphant moment when you cook up two eggs over easy with no yolk casualties ?? http://t.co/fQJ5Aga1pd,108,0,0,1,0.4404,"[('triumphant', 'moment'), ('moment', 'cook'), ('cook', 'two'), ('two', 'egg'), ('egg', 'easy'), ('easy', 'yolk'), ('yolk', 'casualty')]","[('triumphant', 'moment', 'cook'), ('moment', 'cook', 'two'), ('cook', 'two', 'egg'), ('two', 'egg', 'easy'), ('egg', 'easy', 'yolk'), ('easy', 'yolk', 'casualty')]",triumphant moment cook two egg easy yolk casualty triumphant_moment moment_cook cook_two two_egg egg_easy easy_yolk yolk_casualty triumphant_moment_cook moment_cook_two cook_two_egg two_egg_easy egg_easy_yolk easy_yolk_casualty
0,google alert emergency unit simulate chemical explosion nu,chemical emergency,Google Alert: Emergency units simulate a chemical explosion at NU http://t.co/NDgpWYxu6H,88,0,0,1,-0.1027,"[('google', 'alert'), ('alert', 'emergency'), ('emergency', 'unit'), ('unit', 'simulate'), ('simulate', 'chemical'), ('chemical', 'explosion'), ('explosion', 'nu')]","[('google', 'alert', 'emergency'), ('alert', 'emergency', 'unit'), ('emergency', 'unit', 'simulate'), ('unit', 'simulate', 'chemical'), ('simulate', 'chemical', 'explosion'), ('chemical', 'explosion', 'nu')]",google alert emergency unit simulate chemical explosion nu google_alert alert_emergency emergency_unit unit_simulate simulate_chemical chemical_explosion explosion_nu google_alert_emergency alert_emergency_unit emergency_unit_simulate unit_simulate_chemical simulate_chemical_explosion chemical_explosion_nu
0,robertoneill 31 getting hit foul ball sitting hardly freak accident war zone,war zone,@RobertONeill31 Getting hit by a foul ball while sitting there is hardly a freak accident. It's a war zone.,107,0,1,0,-0.8428,"[('robertoneill', '31'), ('31', 'getting'), ('getting', 'hit'), ('hit', 'foul'), ('foul', 'ball'), ('ball', 'sitting'), ('sitting', 'hardly'), ('hardly', 'freak'), ('freak', 'accident'), ('accident', 'war'), ('war', 'zone')]","[('robertoneill', '31', 'getting'), ('31', 'getting', 'hit'), ('getting', 'hit', 'foul'), ('hit', 'foul', 'ball'), ('foul', 'ball', 'sitting'), ('ball', 'sitting', 'hardly'), ('sitting', 'hardly', 'freak'), ('hardly', 'freak', 'accident'), ('freak', 'accident', 'war'), ('accident', 'war', 'zone')]",robertoneill 31 getting hit foul ball sitting hardly freak accident war zone robertoneill_31 31_getting getting_hit hit_foul foul_ball ball_sitting sitting_hardly hardly_freak freak_accident accident_war war_zone robertoneill_31_getting 31_getting_hit getting_hit_foul hit_foul_ball foul_ball_sitting ball_sitting_hardly sitting_hardly_freak hardly_freak_accident freak_accident_war accident_war_zone
0,mgnafrica pin 263789f4 correction tent collapse story correction tent collapse story wizkidayo,collapse,MGN-AFRICA pin:263789F4  Correction: Tent Collapse Story: Correction: Tent Collapse story  http://t.co/fDJUYvZMrv @wizkidayo,124,0,1,1,-0.7506,"[('mgnafrica', 'pin'), ('pin', '263789f4'), ('263789f4', 'correction'), ('correction', 'tent'), ('tent', 'collapse'), ('collapse', 'story'), ('story', 'correction'), ('correction', 'tent'), ('tent', 'collapse'), ('collapse', 'story'), ('story', 'wizkidayo')]","[('mgnafrica', 'pin', '263789f4'), ('pin', '263789f4', 'correction'), ('263789f4', 'correction', 'tent'), ('correction', 'tent', 'collapse'), ('tent', 'collapse', 'story'), ('collapse', 'story', 'correction'), ('story', 'correction', 'tent'), ('correction', 'tent', 'collapse'), ('tent', 'collapse', 'story'), ('collapse', 'story', 'wizkidayo')]",mgnafrica pin 263789f4 correction tent collapse story correction tent collapse story wizkidayo mgnafrica_pin pin_263789f4 263789f4_correction correction_tent tent_collapse collapse_story story_correction correction_tent tent_collapse collapse_story story_wizkidayo mgnafrica_pin_263789f4 pin_263789f4_correction 263789f4_correction_tent correction_tent_collapse tent_collapse_story collapse_story_correction story_correction_tent correction_tent_collapse tent_collapse_story collapse_story_wizkidayo
0,raining since left i am drowning flood see i have always fighter without give,flood,"It's been raining since you left me
Now I'm drowning in the flood
You see I've always been a fighter
But without you I give up",126,0,0,0,0.1531,"[('raining', 'since'), ('since', 'left'), ('left', 'i'), ('i', 'am'), ('am', 'drowning'), ('drowning', 'flood'), ('flood', 'see'), ('see', 'i'), ('i', 'have'), ('have', 'always'), ('always', 'fighter'), ('fighter', 'without'), ('without', 'give')]","[('raining', 'since', 'left'), ('since', 'left', 'i'), ('left', 'i', 'am'), ('i', 'am', 'drowning'), ('am', 'drowning', 'flood'), ('drowning', 'flood', 'see'), ('flood', 'see', 'i'), ('see', 'i', 'have'), ('i', 'have', 'always'), ('have', 'always', 'fighter'), ('always', 'fighter', 'without'), ('fighter', 'without', 'give')]",raining since left i am drowning flood see i have always fighter without give raining_since since_left left_i i_am am_drowning drowning_flood flood_see see_i i_have have_always always_fighter fighter_without without_give raining_since_left since_left_i left_i_am i_am_drowning am_drowning_flood drowning_flood_see flood_see_i see_i_have i_have_always have_always_fighter always_fighter_without fighter_without_give
0,exploration take seismic shift gabon somalia worldoil subscription somalia,seismic,Exploration takes seismic shift in Gabon to Somalia - WorldOil (subscription) http://t.co/kqVEVuutDJ #??????? #Somalia,118,2,0,1,0.2263,"[('exploration', 'take'), ('take', 'seismic'), ('seismic', 'shift'), ('shift', 'gabon'), ('gabon', 'somalia'), ('somalia', 'worldoil'), ('worldoil', 'subscription'), ('subscription', 'somalia')]","[('exploration', 'take', 'seismic'), ('take', 'seismic', 'shift'), ('seismic', 'shift', 'gabon'), ('shift', 'gabon', 'somalia'), ('gabon', 'somalia', 'worldoil'), ('somalia', 'worldoil', 'subscription'), ('worldoil', 'subscription', 'somalia')]",exploration take seismic shift gabon somalia worldoil subscription somalia exploration_take take_seismic seismic_shift shift_gabon gabon_somalia somalia_worldoil worldoil_subscription subscription_somalia exploration_take_seismic take_seismic_shift seismic_shift_gabon shift_gabon_somalia gabon_somalia_worldoil somalia_worldoil_subscription worldoil_subscription_somalia
