text_raw,id
The sunset looked like an erupting volcano .... My initial thought was the Pixar short Lava http://t.co/g4sChqFEsT,0
No two cases don't constitute an epidemic. http://t.co/jbLrRNMdsM  #plague #health #publichealth,21
Hollywood Movie About Trapped Miners Released in Chile: 'The 33' Hollywood movie about trapped miners starring... http://t.co/0f8XA4Ih1U,25
@Glenstannard @EssexWeather do you know where abouts as I heard emergency services near by,80
'What is this accomplishing?! Burning is killing the buildings!' #TI5Quotes #TI5,88
Freak #Boston #hailstorm produces a hailstorm of business ... for auto-body repair specialists. @PeterHoweNECN 6:30/8:30 TONIGHT @necn,217
How does a snowstorm happen? Find the answers here: http://t.co/m75fCLUtF2 #snowstorm,219
Long Island is technically the leftover dirt from a snowstorm and thats a geologic fact. That place is terrible.,241
Burning bridges is my forte!,262
@rvfriedmann Hell is just a fraction of his belief of total annihilation destruction of USA @LodiSilverado @ritzy_jewels,263
'CALIFORNIA IS BURNING:' Gov. Jerry Brown told reporters at a press conference that California is experiencing... http://t.co/arzeMSR7FQ,281
NW Michigan #WindStorm (Sheer) Recovery Updates: Leelanau &amp; Grand Traverse - State of Emergency 2b extended http://t.co/OSKfyj8CK7 #BeSafe,336
Obama Keeps 27 Iraqi Christian Asylum Seekers nDetention While Flooding U.S. w/Unscreened Muslims: http://t.co/b4k0R4GgA8 via @DCClothesline,348
But put 'Flood of Fire' at the top of the list.  https://t.co/p5JPjgiipW,360
@random_tourist it rained. Some guys tree hit by lightning and some jackholes drove onto flooded streets.,386
Hurricane 30STM quem lembra,403
For these Californians it's like living in Africa's Sahel desert - just finding water a daily chore. http://t.co/ySG9vsrT4g,411
@SourMashNumber7 @tomfromireland @rfcgeom66 @BBCTalkback They didn't succeed the other two times either. Bomb didn't detonate&amp;Shots missed.,437
@FoxNews @JenGriffinFNC When you call to report dangerous activity tell em to have body bags on arrival.,487
Skinny Jeans are Hazardous for Your Health! #socialnews http://t.co/pAQanenCeS,513
Mexico: construction of bridge collapse killsone http://t.co/I2C00FcOwb http://t.co/jAAgcFaRTW,538
Global Nuclear Reactor Construction Market grew 4.5% between 2013 and 2014 http://t.co/74JppeK6o7,545
@jozerphine LITERALLY JUST LOOK THAT UP! YEAH DERAILED AT SMITHSONIAN SO EVERYTHIGN IS SHUT DOWN FROM FEDERAL CENTER SW TO MCPHERSON,691
It doesn't get any closer. Heavy rain just barely missed @TontitownGrape festival but lightning TOO CLOSE #TGF2015 http://t.co/S53zvMS5Rf,863
@froilan_canin https://t.co/caCXADLEb8 AFTERNOON DELIGHT Ha! Bounce filmed in between Calgary's Uber Hail Storms #yyc http://t.co/6zgkDpMMSK,868
@Daggy1 Maybe reagan giving weapons to Iran's regime in the 1980s is terrorism no?,869
TRUCK ABLAZE : R21. VOORTREKKER AVE. OUTSIDE OR TAMBO INTL. CARGO SECTION. http://t.co/8kscqKfKkF,875
